INFO  - 2016-06-14 17:08:57.568; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-06-14 17:08:57.656; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2016-06-14 17:08:57.656; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2016-06-14 17:08:57.672; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/root/mysite/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/root/mysite/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-06-14 17:08:57.673; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-06-14 17:08:57.714; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@1297331[collection1] main
INFO  - 2016-06-14 17:08:57.732; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /root/mysite/solr-4.10.4/example/solr/collection1/conf
INFO  - 2016-06-14 17:08:57.733; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/root/mysite/solr-4.10.4/example/solr/collection1/conf}
INFO  - 2016-06-14 17:08:57.738; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/root/mysite/solr-4.10.4/example/solr/collection1/conf
INFO  - 2016-06-14 17:08:57.779; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/root/mysite/solr-4.10.4/example/solr/collection1/conf
INFO  - 2016-06-14 17:08:57.780; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2016-06-14 17:08:57.780; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2016-06-14 17:08:57.782; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/root/mysite/solr-4.10.4/example/solr/collection1/conf
INFO  - 2016-06-14 17:08:57.789; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/root/mysite/solr-4.10.4/example/solr/collection1/conf
INFO  - 2016-06-14 17:08:57.790; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2016-06-14 17:08:57.792; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2016-06-14 17:08:57.794; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2016-06-14 17:08:57.798; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/root/mysite/solr-4.10.4/example/solr/collection1/conf
INFO  - 2016-06-14 17:08:57.800; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/root/mysite/solr-4.10.4/example/solr/collection1/conf
